"Source:","C:\Users\rwache\OneDrive - Rockwell Automation, Inc\project\debug_tools\diff-probe\kicad\diff-probe.kicad_sch"
"Date:","8/19/2022 12:08:14 PM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","31"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC","Spice_Lib_File","Spice_Model","Spice_Netlist_Enabled","Spice_Primitive"
"","","C1","100nF","diff-probe-eagle-import:C-EU-0402-SQUARE","0402-SQUARE","https://pl.rs-online.com/web/p/wielowarstwowe-kondensatory-ceramiczne/6983197","C15195","","","",""
"","","C13","100nF","diff-probe-eagle-import:C-EU-0402-SQUARE","0402-SQUARE","https://pl.rs-online.com/web/p/wielowarstwowe-kondensatory-ceramiczne/6983197","C15195","","","",""
"","","C14","100nF","diff-probe-eagle-import:C-EU-0402-SQUARE","0402-SQUARE","https://pl.rs-online.com/web/p/wielowarstwowe-kondensatory-ceramiczne/6983197","C15195","","","",""
"","","C15","100nF","diff-probe-eagle-import:C-EU-0402-SQUARE","0402-SQUARE","https://pl.rs-online.com/web/p/wielowarstwowe-kondensatory-ceramiczne/6983197","C15195","","","",""
"","","C16","100nF","diff-probe-eagle-import:C-EU-0402-SQUARE","0402-SQUARE","https://pl.rs-online.com/web/p/wielowarstwowe-kondensatory-ceramiczne/6983197","C15195","","","",""
"","","C17","100nF","diff-probe-eagle-import:C-EU-0402-SQUARE","0402-SQUARE","https://pl.rs-online.com/web/p/wielowarstwowe-kondensatory-ceramiczne/6983197","C15195","","","",""
"","","C18","100nF","diff-probe-eagle-import:C-EU-0402-SQUARE","0402-SQUARE","https://pl.rs-online.com/web/p/wielowarstwowe-kondensatory-ceramiczne/6983197","C15195","","","",""
"","","C19","100nF","diff-probe-eagle-import:C-EU-0402-SQUARE","0402-SQUARE","https://pl.rs-online.com/web/p/wielowarstwowe-kondensatory-ceramiczne/6983197","C15195","","","",""
"","","C20","100nF","diff-probe-eagle-import:C-EU-0402-SQUARE","0402-SQUARE","https://pl.rs-online.com/web/p/wielowarstwowe-kondensatory-ceramiczne/6983197","C15195","","","",""
"","","C21","100nF","diff-probe-eagle-import:C-EU-0402-SQUARE","0402-SQUARE","https://pl.rs-online.com/web/p/wielowarstwowe-kondensatory-ceramiczne/6983197","C15195","","","",""
"","","C22","100nF","diff-probe-eagle-import:C-EU-0402-SQUARE","0402-SQUARE","https://pl.rs-online.com/web/p/wielowarstwowe-kondensatory-ceramiczne/6983197","C15195","","","",""
"","","C23","100nF","diff-probe-eagle-import:C-EU-0402-SQUARE","0402-SQUARE","https://pl.rs-online.com/web/p/wielowarstwowe-kondensatory-ceramiczne/6983197","C15195","","","",""
"","","C24","100nF","diff-probe-eagle-import:C-EU-0402-SQUARE","0402-SQUARE","https://pl.rs-online.com/web/p/wielowarstwowe-kondensatory-ceramiczne/6983197","C15195","","","",""
"","","C52","1µF","diff-probe-eagle-import:C-EU-0603","0603","","C52923","","","",""
