Designator,Footprint,Quantity,Value,LCSC Part #
R28,0402-SQUARE,1,150Ω,C25082
J3,CARD_EDGE_PADS-1X2,1,HEADER-1X2CARD-EDGE,
C19,0402-SQUARE,1,100nF,C15195
C20,0402-SQUARE,1,100nF,C15195
C24,0402-SQUARE,1,100nF,C15195
R20,0402-SQUARE,1,150Ω,C25082
IC3,SO08,1,LMH6702,
R26,0402-SQUARE,1,220Ω,C25091
R30,0402-SQUARE,1,50Ω,C477760
C22,0402-SQUARE,1,100nF,C15195
C18,0402-SQUARE,1,100nF,C15195
C17,0402-SQUARE,1,100nF,C15195
C16,0402-SQUARE,1,100nF,C15195
R22,0402-SQUARE,1,1.1kΩ,C25860
C21,0402-SQUARE,1,100nF,C15195
C13,0402-SQUARE,1,100nF,C15195
IC5,SO08,1,LMH6702,
C14,0402-SQUARE,1,100nF,C15195
X2,SMA_Molex_73251-1153_EdgeMount_Horizontal_new,1,SMA--BU-SMA-H,C1509230
C54,0603,1,1µF,C52923
C52,0603,1,1µF,C52923
IC4,SO08,1,LMH6702,
C15,0402-SQUARE,1,100nF,C15195
C23,0402-SQUARE,1,100nF,C15195
R32,0402-SQUARE,1,1.1kΩ,C25860
C1,0402-SQUARE,1,100nF,C15195
J4,Molex_CLIK-Mate_502494-0470_1x04-1MP_P2.00mm_Horizontal,1,Molex 502494-0470,
R27,0402-SQUARE,1,220Ω,C25091
R37,0402-SQUARE,1,220Ω,C25091
R38,0402-SQUARE,1,220Ω,C25091
