Designator,Mid X,Mid Y,Rotation,Layer
R28,129.87795,-96.2983,45.0,top
J3,126.67905,-98.03,90.0,top
C19,133.2561,-96.8786,0.0,top
C20,133.2561,-98.1286,0.0,top
C24,150.95,-101.8786,180.0,top
R20,129.97795,-99.7264,-45.0,top
IC3,138.3811,-100.5036,-90.0,top
R26,144.7561,-102.3786,0.0,top
R30,153.9,-99.2,0.0,top
C22,133.2561,-103.1286,0.0,top
C18,153.9,-97.7536,0.0,top
C17,153.9,-96.3,0.0,top
C16,142.8811,-99.2536,90.0,top
R22,143.5061,-101.1286,0.0,top
C21,133.2561,-101.8786,0.0,top
C13,142.8811,-94.0036,90.0,top
IC5,138.3811,-95.2536,-90.0,top
C14,144.1311,-94.0036,90.0,top
X2,168.81,-98.0,180.0,top
C54,146.3,-93.1,90.0,top
C52,154.1,-94.6,0.0,top
IC4,148.6311,-98.5036,-90.0,top
C15,144.1311,-98.5036,90.0,top
C23,148.45,-101.8786,0.0,top
R32,143.5061,-95.8786,0.0,top
C1,154.5,-101.6,-90.0,bottom
J4,160.65,-98.0,-90.0,bottom
R27,138.3811,-101.1286,0.0,bottom
R37,138.3811,-95.8786,0.0,bottom
R38,148.6311,-98.5036,0.0,bottom
